Date,USDCHF,EURUSD,GBPUSD,USDJPY
2021-08-25,0.913100004196167,1.175309181213379,1.3725517988204956,109.7300033569336
2021-08-26,0.913640022277832,1.177440166473389,1.3766520023345947,109.97599792480467
2021-08-27,0.9179400205612184,1.1756407022476196,1.3702384233474731,110.0479965209961
2021-08-30,0.911199986934662,1.1799006462097168,1.3762996196746826,109.86499786376952
2021-08-31,0.9171800017356871,1.1796904802322388,1.376045823097229,109.94400024414062
2021-09-01,0.9153000116348268,1.1810280084609983,1.3753398656845093,110.05599975585938
2021-09-02,0.9155169725418092,1.1840906143188477,1.3771638870239258,110.09600067138672
2021-09-03,0.9144899845123292,1.1876484155654907,1.383680820465088,109.94499969482422
2021-09-06,0.9138399958610536,1.1885942220687866,1.3859245777130127,109.76399993896484
2021-09-07,0.9148799777030944,1.187507390975952,1.3839489221572876,109.81999969482422
2021-09-08,0.9194499850273132,1.184356927871704,1.3779798746109009,110.2959976196289
2021-09-09,0.9218400120735168,1.1819101572036743,1.3767657279968262,110.21800231933594
2021-09-10,0.9165099859237672,1.182592272758484,1.3839681148529053,109.78099822998048
2021-09-13,0.9181399941444396,1.1811953783035278,1.3840830326080322,109.91500091552734
2021-09-14,0.921999990940094,1.1811953783035278,1.3838149309158323,109.99400329589844
2021-09-15,0.9200800061225892,1.180498123168945,1.381024718284607,109.71900177001952
2021-09-16,0.9197099804878236,1.1819995641708374,1.3848881721496582,109.38300323486328
2021-09-17,0.9273599982261658,1.176747441291809,1.3797005414962769,109.6989974975586
2021-09-20,0.9320399761199952,1.1729930639266968,1.3729662895202637,109.97100067138672
2021-09-21,0.9276700019836426,1.1730204820632937,1.366269588470459,109.43699645996094
